ID,名前,ルビ,ボード,登場作品,性別,属性,ポジション,カテゴリ,年代区分,学年,チーム,説明文,キック,コントロール,テクニック,プレッシャー,フィジカル,アジリティ,インテリジェンス,ビルド,合計値,シュートAT,フォーカスAT,フォーカスDF,城壁DF,スクランブルAT,スクランブルDF,KP
128,児雷也 蟇助,じらいや がますけ,1,イナズマイレブン,男,山,DF,選手,中学生,二年生,戦国伊賀島中,どんなケガにも「ガマの油が一番効く」 と言い張って　誰にでも塗りたくる。,106,110,107,133,138,113,154,きずな,861,216,270,317.5,271,292,287,1132
129,石川 五衛太,いしかわ ごえた,1,イナズマイレブン,男,火,DF,選手,中学生,三年生,戦国伊賀島中,盗めないものはないと言うが 金持ちしか狙わないという。,106,110,107,133,138,113,154,テンション,861,216,270,317.5,271,292,287,1132
130,風魔 小平太,ふうま こへいた,1,イナズマイレブン,男,山,MF,選手,中学生,二年生,戦国伊賀島中,仲間にしか分からない合言葉で指示を出す 裏の指揮官。,135,145,142,117,119,109,130,せいぎ,897,280,354.5,326.5,236,249,247,1027
131,甲賀 幻,こうが げん,1,イナズマイレブン,男,風,MF,選手,中学生,二年生,戦国伊賀島中,幻術を得意とし　目くらましのような動きで 相手を混乱させる。,126,145,147,107,105,105,130,きずな,865,271,355,329.5,212,235,237,949
132,猿飛 佐之助,さるとび さのすけ,1,イナズマイレブン,男,風,MF,選手,中学生,一年生,戦国伊賀島中,猿のように軽い身のこなしで どんなところにも登ることができる。,130,141,137,113,114,105,126,ラフ,866,271,343,315.5,227,240,239,988
133,柳生 十郎,やぎゅう じゅうろう,1,イナズマイレブン,男,林,FW,選手,中学生,三年生,戦国伊賀島中,忍術と剣術に秀でているが 眼帯で力を抑えている。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
134,初鳥 伴三,はつとり はんぞう,1,イナズマイレブン,男,林,MF,選手,中学生,二年生,戦国伊賀島中,個人技よりも　集団行動が得意で チームワークを保つキーマン。,135,145,142,117,119,109,130,きずな,897,280,354.5,326.5,236,249,247,1027
135,霧隠 才次,きりがくれ さいじ,1,イナズマイレブン,男,火,FW,選手,中学生,二年生,戦国伊賀島中 ネオジャパン,忍者として非常に優秀なのだが　ときどき 試合中であることを忘れ　手を使ってしまう。,159,151,137,113,109,109,120,ひっさつ,898,310,367.5,311.5,222,229,233,989
136,鉢屋 也三郎,はちや やさぶろう,1,イナズマイレブン,男,風,FW,選手,中学生,二年生,戦国伊賀島中,昔は暴れ者だったが　サッカーを通じて 真面目なサッカー忍者になった。,154,145,133,107,105,105,116,きずな,865,299,355,301.5,212,221,223,949
137,加藤 段,かとう だん,1,イナズマイレブン,男,山,DF,選手,中学生,二年生,戦国伊賀島中,飛び抜けたジャンプ力を持っているが 高く跳びすぎて逆にミスが多い。,110,116,117,127,133,113,145,カウンター,861,226,288,318.5,260,278,272,1105
138,出浦 清盛,いでうら きよもり,1,イナズマイレブン,男,林,MF,選手,中学生,三年生,戦国伊賀島中,実力もあるが人に教えるのもうまく 息の合ったチームプレイが得意。,130,141,137,113,114,105,126,テンション,866,271,343,315.5,227,240,239,988
139,滝川 一馬,たきがわ かずま,1,イナズマイレブン,男,風,MF,選手,中学生,一年生,戦国伊賀島中,スパイ活動に優れており 試合よりも　その前に活躍する。,130,141,137,113,114,105,126,ラフ,866,271,343,315.5,227,240,239,988
140,城戸 弥門,きど やもん,1,イナズマイレブン,男,風,GK,選手,中学生,二年生,戦国伊賀島中,相手をマークするのがうまく 相手が音を上げるまでつけ回す。,110,120,113,123,133,141,120,きずな,860,230,288,303.5,256,253,243,1209
141,伊賀島 仙一,いがじま せんいち,1,イナズマイレブン,男,火,MF,監督,老人,-,戦国伊賀島中,忍者の末裔であり　現役の忍者。 秘伝の忍術で選手を鍛える。,130,141,137,113,114,105,126,ひっさつ,866,271,343,315.5,227,240,239,988
142,綾野 勇一,あやの ゆういち,1,イナズマイレブン,男,火,GK,選手,中学生,二年生,千羽山中,漬物にうるさくて　食事の時に漬物がないと たちまちフキゲンに。,116,126,117,133,138,141,126,カウンター,897,242,301,313.5,271,264,259,1244
143,炭野 詠輔,すみの えいすけ,1,イナズマイレブン,男,山,DF,選手,中学生,一年生,千羽山中,おばあさんの強い希望で 今でも石炭で風呂を沸かしたりするらしい。,106,110,107,133,138,113,154,きずな,861,216,270,317.5,271,292,287,1132
144,芹沢 和憲,せりざわ かずのり,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,千羽山中,かばんを使わず いつも風呂敷で学校に通っている変わり者。,106,110,107,133,138,113,154,せいぎ,861,216,270,317.5,271,292,287,1132
145,牧谷 寛,まきや ひろし,1,イナズマイレブン,男,山,DF,選手,中学生,二年生,千羽山中 ネオジャパン,農家の息子で　朝早くから ニワトリや牛の世話をしているらしい。,110,116,117,127,133,113,145,ラフ,861,226,288,318.5,260,278,272,1105
146,塩谷 ヒロ,しおたに ひろ,1,イナズマイレブン,男,火,DF,選手,中学生,三年生,千羽山中,携帯電話どころか　いまだに家は黒電話だが 不自由はないという。,106,110,107,133,138,113,154,カウンター,861,216,270,317.5,271,292,287,1132
147,山根 羊,やまね よう,1,イナズマイレブン,男,山,MF,選手,中学生,三年生,千羽山中,飼っているヤギのミルクを毎朝飲んで 丈夫な体を手に入れた。,126,145,147,107,105,105,130,せいぎ,865,271,355,329.5,212,235,237,949
148,育井 庄児,いくい しょうじ,1,イナズマイレブン,男,林,MF,選手,中学生,二年生,千羽山中,両親に代わって ５人の兄弟の世話をしていたお兄さん。,126,145,147,107,105,105,130,ひっさつ,865,271,355,329.5,212,235,237,949
149,大鯉 昇,おおごい のぼる,1,イナズマイレブン,男,火,MF,選手,中学生,二年生,千羽山中,毎朝　近くにある滝に打たれて 精神力を鍛えている。,126,145,147,107,105,105,130,せいぎ,865,271,355,329.5,212,235,237,949
150,原野 徹,はらの とおる,1,イナズマイレブン,男,山,MF,選手,中学生,二年生,千羽山中,野鳥を捕まえては 焼き鳥にして食べている野生児。,126,145,147,107,105,105,130,ラフ,865,271,355,329.5,212,235,237,949
151,根上 大地,ねがみ だいち,1,イナズマイレブン,男,風,MF,選手,中学生,一年生,千羽山中,土の上を歩くのが大好き。 いつもハダシで走り回っている。,126,145,147,107,105,105,130,きずな,865,271,355,329.5,212,235,237,949
152,田主丸 茂樹,たぬしまる しげき,1,イナズマイレブン,男,林,FW,選手,中学生,一年生,千羽山中,山奥から　ありえないほどの道のりを歩いて 通学しているらしい。,154,145,133,107,105,105,116,せいぎ,865,299,355,301.5,212,221,223,949
153,草生 久志,くさお ひさし,1,イナズマイレブン,男,山,GK,選手,中学生,三年生,千羽山中,グラウンドの草むしりが好きだという 無邪気な変わり者。,110,120,113,123,133,141,120,ひっさつ,860,230,288,303.5,256,253,243,1209
154,米山 植人,よねやま うえひと,1,イナズマイレブン,男,山,DF,選手,中学生,三年生,千羽山中,いまだに手作りの米にこだわっていて 家族みんなで手作業をしている。,106,110,107,133,138,113,154,ひっさつ,861,216,270,317.5,271,292,287,1132
155,犬飼 茂樹,いぬかい しげき,1,イナズマイレブン,男,風,DF,選手,中学生,二年生,千羽山中,犬と会話できると言い張り よく村で犬を追いかけ回している。,106,110,107,133,138,113,154,きずな,861,216,270,317.5,271,292,287,1132
156,福井 咲平,ふくい さくへい,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,千羽山中,一家そろって長生きで ひいおばあさんも　まだまだ元気。,110,116,117,127,133,113,145,テンション,861,226,288,318.5,260,278,272,1105
157,富士 地洋,ふじ ちひろ,1,イナズマイレブン,男,風,DF,選手,中学生,一年生,千羽山中,生き物を観察するのが大好き。 自然を求めて山に引っ越した。,106,110,107,133,138,113,154,ラフ,861,216,270,317.5,271,292,287,1132
158,新野 亀吉,しんの かめきち,1,イナズマイレブン,男,風,MF,監督,大人,-,千羽山中,小柄だが　大きな心で いつも穏やかに戦況を見守る。,126,145,147,107,105,105,130,カウンター,865,271,355,329.5,212,235,237,949
159,軟山 弱,なんざん よわみ,1,イナズマイレブン,男,火,GK,選手,中学生,三年生,木戸川清修中,気が弱そうな顔をしているけど ボールを見つけると顔つきが変わる。,110,120,113,123,133,141,120,カウンター,860,230,288,303.5,256,253,243,1209
160,西垣 守,にしがき まもる,1,イナズマイレブン,男,火,DF,選手,中学生,二年生,木戸川清修中,一之瀬たちのアメリカ時代の仲間。 ヘアスタイルにはこだわりが。,110,116,113,137,142,119,159,カウンター,896,226,284,331.5,279,301,296,1176
161,女川 映日,めがわ あきひ,1,イナズマイレブン,男,林,DF,選手,中学生,一年生,木戸川清修中,ファッションの流行に敏感で 着ている服のブランドが頻繁に変わる。,110,116,113,137,142,119,159,せいぎ,896,226,284,331.5,279,301,296,1176
162,光宗 団,みつむね だん,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,木戸川清修中,寝ることが何よりも幸せで 幸せすぎて　いつもチコクしている。,106,110,107,133,138,113,154,ラフ,861,216,270,317.5,271,292,287,1132
163,黒部 立樹,くろべ りつき,1,イナズマイレブン,男,山,DF,選手,中学生,二年生,木戸川清修中,あまりにどっしりと構えているので みんなに壁と間違えられている。,106,110,107,133,138,113,154,せいぎ,861,216,270,317.5,271,292,287,1132
164,跳山 段,とびやま だん,1,イナズマイレブン,男,風,MF,選手,中学生,二年生,木戸川清修中,小さい体だが　並外れたジャンプ力を持ち 空中で軽々とボールを操る。,126,145,147,107,105,105,130,きずな,865,271,355,329.5,212,235,237,949
165,屋形 直人,やかた なおと,1,イナズマイレブン,男,林,MF,選手,中学生,一年生,木戸川清修中,屋根の上で昼寝をするのが大好きだが 寝返りでよく落っこちている。,130,151,152,113,109,109,135,せいぎ,899,281,368,341.5,222,244,248,989
166,茂木 沙樹都,もぎ さきと,1,イナズマイレブン,男,林,MF,選手,中学生,二年生,木戸川清修中,目立ったスキルがあるわけではないが 仲間のアシストは　センス抜群。,126,145,147,107,105,105,130,ひっさつ,865,271,355,329.5,212,235,237,949
167,武方 勝,むかた まさる,1,イナズマイレブン,男,火,FW,選手,中学生,二年生,木戸川清修中,武方３兄弟の長男で　木戸川キャプテン。 他の誰よりも　勝利にこだわりを持つ。,159,151,137,113,109,109,120,ラフ,898,310,367.5,311.5,222,229,233,989
168,武方 友,むかた とも,1,イナズマイレブン,男,風,FW,選手,中学生,二年生,木戸川清修中,武方３兄弟の次男で　人当たりの良い性格。 チームメイトの悩みを聞く相談役でもある。,159,151,137,113,109,109,120,ラフ,898,310,367.5,311.5,222,229,233,989
169,武方 努,むかた つとむ,1,イナズマイレブン,男,山,FW,選手,中学生,二年生,木戸川清修中 ネオジャパン,武方３兄弟の三男で　２人の兄に憧れを抱き 人一倍　トレーニングに励むようになった。,159,151,137,113,109,109,120,せいぎ,898,310,367.5,311.5,222,229,233,989
170,段堂 正憲,だんどう まさのり,1,イナズマイレブン,男,林,GK,選手,中学生,二年生,木戸川清修中,足腰を鍛えるため　住んでいるマンションを 階段で行き来している。,110,120,113,123,133,141,120,テンション,860,230,288,303.5,256,253,243,1209
171,深沢 念司,ふかざわ ねんじ,1,イナズマイレブン,男,山,MF,選手,中学生,二年生,木戸川清修中,３年前に負けた試合を いまだに反省している律儀な選手。,126,145,147,107,105,105,130,ひっさつ,865,271,355,329.5,212,235,237,949
172,守野 優一,まもりの ゆういち,1,イナズマイレブン,男,林,MF,選手,中学生,一年生,木戸川清修中,昔は苦手だったサッカーを おじいさんのお守りで上達させた。,126,145,147,107,105,105,130,カウンター,865,271,355,329.5,212,235,237,949
173,中井 陽介,なかい ようすけ,1,イナズマイレブン,男,山,DF,選手,中学生,三年生,木戸川清修中,ぐずぐずした性格だが 女の子に頼まれると実力を発揮する。,106,110,107,133,138,113,154,きずな,861,216,270,317.5,271,292,287,1132
174,石井 清気,いしい せいき,1,イナズマイレブン,男,風,DF,選手,中学生,二年生,木戸川清修中,元サッカー選手だった父が残したメモで 毎日練習している。,110,116,117,127,133,113,145,きずな,861,226,288,318.5,260,278,272,1105
